计算点与点的相似度
( 0 , 0 )0
( 26 , 21 )202
( 26 , 22 )201
( 26 , 23 )107
( 26 , 24 )111
( 26 , 25 )101
( 26 , 26 )0
( 26 , 27 )90
( 26 , 28 )168
( 26 , 29 )186
( 26 , 30 )282
( 26 , 31 )191
( 26 , 32 )195
( 26 , 33 )202
( 26 , 34 )129
( 26 , 35 )202
( 26 , 36 )201
( 26 , 37 )107
( 26 , 38 )111
( 26 , 39 )101
( 26 , 40 )0
( 26 , 41 )90
( 26 , 42 )168
( 26 , 43 )186
( 26 , 44 )282
( 26 , 45 )191
( 26 , 46 )195
( 26 , 47 )202
( 27 , 0 )346
( 27 , 1 )404
( 27 , 2 )355
( 27 , 3 )312
( 27 , 4 )314
( 27 , 5 )228
( 27 , 6 )132
( 27 , 7 )132
( 27 , 8 )116
( 27 , 9 )129
( 27 , 10 )134
( 27 , 11 )137
( 27 , 12 )134
( 27 , 13 )130
( 27 , 14 )119
( 27 , 15 )253
( 27 , 16 )264
( 27 , 17 )200
( 27 , 18 )196
( 27 , 19 )204
( 27 , 20 )199
( 27 , 21 )274
( 27 , 22 )277
( 27 , 23 )187
( 27 , 24 )193
( 27 , 25 )183
( 27 , 26 )90
( 27 , 27 )0
( 27 , 28 )82
( 27 , 29 )96
( 27 , 30 )194
( 27 , 31 )105
( 27 , 32 )105
( 27 , 33 )112
( 27 , 34 )39
( 27 , 35 )274
( 27 , 36 )277
( 27 , 37 )187
( 27 , 38 )193
( 27 , 39 )183
( 27 , 40 )90
( 27 , 41 )0
( 27 , 42 )82
( 27 , 43 )96
( 27 , 44 )194
( 27 , 45 )105
( 27 , 46 )105
( 27 , 47 )112
( 28 , 0 )272
( 28 , 1 )478
( 28 , 2 )429
( 28 , 3 )380
( 28 , 4 )382
( 28 , 5 )302
( 28 , 6 )204
( 28 , 7 )200
( 28 , 8 )184
( 28 , 9 )193
( 28 , 10 )208
( 28 , 11 )205
( 28 , 12 )210
( 28 , 13 )206
( 28 , 14 )197
( 28 , 15 )187
( 28 , 16 )196
( 28 , 17 )138
( 28 , 18 )134
( 28 , 19 )138
( 28 , 20 )135
( 28 , 21 )208
( 28 , 22 )213
( 28 , 23 )113
( 28 , 24 )119
( 28 , 25 )115
( 28 , 26 )168
( 28 , 27 )82
( 28 , 28 )0
( 28 , 29 )18
( 28 , 30 )126
( 28 , 31 )33
( 28 , 32 )37
( 28 , 33 )46
( 28 , 34 )113
( 28 , 35 )208
( 28 , 36 )213
( 28 , 37 )113
( 28 , 38 )119
( 28 , 39 )115
( 28 , 40 )168
( 28 , 41 )82
( 28 , 42 )0
( 28 , 43 )18
( 28 , 44 )126
( 28 , 45 )33
( 28 , 46 )37
( 28 , 47 )46
( 29 , 0 )270
( 29 , 1 )488
( 29 , 2 )429
( 29 , 3 )374
( 29 , 4 )376
( 29 , 5 )296
( 29 , 6 )196
( 29 , 7 )192
( 29 , 8 )190
( 29 , 9 )193
( 29 , 10 )202
( 29 , 11 )199
( 29 , 12 )212
( 29 , 13 )216
( 29 , 14 )205
( 29 , 15 )199
( 29 , 16 )204
( 29 , 17 )142
( 29 , 18 )146
( 29 , 19 )146
( 29 , 20 )139
( 29 , 21 )196
( 29 , 22 )199
( 29 , 23 )119
( 29 , 24 )125
( 29 , 25 )121
( 29 , 26 )186
( 29 , 27 )96
( 29 , 28 )18
( 29 , 29 )0
( 29 , 30 )108
( 29 , 31 )21
( 29 , 32 )39
( 29 , 33 )48
( 29 , 34 )123
( 29 , 35 )196
( 29 , 36 )199
( 29 , 37 )119
( 29 , 38 )125
( 29 , 39 )121
( 29 , 40 )186
( 29 , 41 )96
( 29 , 42 )18
( 29 , 43 )0
( 29 , 44 )108
( 29 , 45 )21
( 29 , 46 )39
( 29 , 47 )48
( 30 , 0 )372
( 30 , 1 )576
( 30 , 2 )523
( 30 , 3 )460
( 30 , 4 )462
( 30 , 5 )376
( 30 , 6 )280
( 30 , 7 )282
( 30 , 8 )284
( 30 , 9 )287
( 30 , 10 )280
( 30 , 11 )283
( 30 , 12 )296
( 30 , 13 )292
( 30 , 14 )291
( 30 , 15 )283
( 30 , 16 )288
( 30 , 17 )216
( 30 , 18 )216
( 30 , 19 )222
( 30 , 20 )223
( 30 , 21 )286
( 30 , 22 )281
( 30 , 23 )213
( 30 , 24 )213
( 30 , 25 )211
( 30 , 26 )282
( 30 , 27 )194
( 30 , 28 )126
( 30 , 29 )108
( 30 , 30 )0
( 30 , 31 )101
( 30 , 32 )127
( 30 , 33 )138
( 30 , 34 )213
( 30 , 35 )286
( 30 , 36 )281
( 30 , 37 )213
( 30 , 38 )213
( 30 , 39 )211
( 30 , 40 )282
( 30 , 41 )194
( 30 , 42 )126
( 30 , 43 )108
( 30 , 44 )0
( 30 , 45 )101
( 30 , 46 )127
( 30 , 47 )138
( 31 , 0 )283
( 31 , 1 )487
( 31 , 2 )438
( 31 , 3 )375
( 31 , 4 )375
( 31 , 5 )289
( 31 , 6 )193
( 31 , 7 )195
( 31 , 8 )189
( 31 , 9 )194
( 31 , 10 )195
( 31 , 11 )206
( 31 , 12 )213
( 31 , 13 )217
( 31 , 14 )202
( 31 , 15 )200
( 31 , 16 )205
( 31 , 17 )133
( 31 , 18 )139
( 31 , 19 )145
( 31 , 20 )140
( 31 , 21 )199
( 31 , 22 )194
( 31 , 23 )120
( 31 , 24 )124
( 31 , 25 )118
( 31 , 26 )191
( 31 , 27 )105
( 31 , 28 )33
( 31 , 29 )21
( 31 , 30 )101
( 31 , 31 )0
( 31 , 32 )38
( 31 , 33 )45
( 31 , 34 )122
( 31 , 35 )199
( 31 , 36 )194
( 31 , 37 )120
( 31 , 38 )124
( 31 , 39 )118
( 31 , 40 )191
( 31 , 41 )105
( 31 , 42 )33
( 31 , 43 )21
( 31 , 44 )101
( 31 , 45 )0
( 31 , 46 )38
( 31 , 47 )45
( 32 , 0 )267
( 32 , 1 )451
( 32 , 2 )418
( 32 , 3 )371
( 32 , 4 )369
( 32 , 5 )289
( 32 , 6 )199
( 32 , 7 )199
( 32 , 8 )197
( 32 , 9 )210
( 32 , 10 )195
( 32 , 11 )212
( 32 , 12 )197
( 32 , 13 )199
( 32 , 14 )182
( 32 , 15 )188
( 32 , 16 )201
( 32 , 17 )123
( 32 , 18 )133
( 32 , 19 )131
( 32 , 20 )120
( 32 , 21 )203
( 32 , 22 )188
( 32 , 23 )108
( 32 , 24 )116
( 32 , 25 )110
( 32 , 26 )195
( 32 , 27 )105
( 32 , 28 )37
( 32 , 29 )39
( 32 , 30 )127
( 32 , 31 )38
( 32 , 32 )0
( 32 , 33 )17
( 32 , 34 )90
( 32 , 35 )203
( 32 , 36 )188
( 32 , 37 )108
( 32 , 38 )116
( 32 , 39 )110
( 32 , 40 )195
( 32 , 41 )105
( 32 , 42 )37
( 32 , 43 )39
( 32 , 44 )127
( 32 , 45 )38
( 32 , 46 )0
( 32 , 47 )17
( 33 , 0 )274
( 33 , 1 )454
( 33 , 2 )429
( 33 , 3 )378
( 33 , 4 )372
( 33 , 5 )288
( 33 , 6 )206
( 33 , 7 )206
( 33 , 8 )206
( 33 , 9 )217
( 33 , 10 )200
( 33 , 11 )223
( 33 , 12 )192
( 33 , 13 )196
( 33 , 14 )181
( 33 , 15 )195
( 33 , 16 )200
( 33 , 17 )126
( 33 , 18 )134
( 33 , 19 )134
( 33 , 20 )121
( 33 , 21 )206
( 33 , 22 )193
( 33 , 23 )111
( 33 , 24 )117
( 33 , 25 )113
( 33 , 26 )202
( 33 , 27 )112
( 33 , 28 )46
( 33 , 29 )48
( 33 , 30 )138
( 33 , 31 )45
( 33 , 32 )17
( 33 , 33 )0
( 33 , 34 )87
( 33 , 35 )206
( 33 , 36 )193
( 33 , 37 )111
( 33 , 38 )117
( 33 , 39 )113
( 33 , 40 )202
( 33 , 41 )112
( 33 , 42 )46
( 33 , 43 )48
( 33 , 44 )138
( 33 , 45 )45
( 33 , 46 )17
( 33 , 47 )0
( 34 , 0 )337
( 34 , 1 )369
( 34 , 2 )344
( 34 , 3 )297
( 34 , 4 )293
( 34 , 5 )219
( 34 , 6 )129
( 34 , 7 )129
( 34 , 8 )131
( 34 , 9 )146
( 34 , 10 )127
( 34 , 11 )148
( 34 , 12 )125
( 34 , 13 )129
( 34 , 14 )114
( 34 , 15 )266
( 34 , 16 )281
( 34 , 17 )195
( 34 , 18 )201
( 34 , 19 )197
( 34 , 20 )182
( 34 , 21 )269
( 34 , 22 )258
( 34 , 23 )186
( 34 , 24 )194
( 34 , 25 )188
( 34 , 26 )129
( 34 , 27 )39
( 34 , 28 )113
( 34 , 29 )123
( 34 , 30 )213
( 34 , 31 )122
( 34 , 32 )90
( 34 , 33 )87
( 34 , 34 )0
( 34 , 35 )269
( 34 , 36 )258
( 34 , 37 )186
( 34 , 38 )194
( 34 , 39 )188
( 34 , 40 )129
( 34 , 41 )39
( 34 , 42 )113
( 34 , 43 )123
( 34 , 44 )213
( 34 , 45 )122
( 34 , 46 )90
( 34 , 47 )87
( 35 , 0 )100
( 35 , 1 )318
( 35 , 2 )257
( 35 , 3 )202
( 35 , 4 )198
( 35 , 5 )280
( 35 , 6 )184
( 35 , 7 )182
( 35 , 8 )200
( 35 , 9 )205
( 35 , 10 )196
( 35 , 11 )203
( 35 , 12 )214
( 35 , 13 )222
( 35 , 14 )201
( 35 , 15 )207
( 35 , 16 )208
( 35 , 17 )126
( 35 , 18 )144
( 35 , 19 )136
( 35 , 20 )107
( 35 , 21 )0
( 35 , 22 )21
( 35 , 23 )117
( 35 , 24 )123
( 35 , 25 )117
( 35 , 26 )202
( 35 , 27 )274
( 35 , 28 )208
( 35 , 29 )196
( 35 , 30 )286
( 35 , 31 )199
( 35 , 32 )203
( 35 , 33 )206
( 35 , 34 )269
( 35 , 35 )0
( 35 , 36 )21
( 35 , 37 )117
( 35 , 38 )123
( 35 , 39 )117
( 35 , 40 )202
( 35 , 41 )274
( 35 , 42 )208
( 35 , 43 )196
( 35 , 44 )286
( 35 , 45 )199
( 35 , 46 )203
( 35 , 47 )206
( 36 , 0 )99
( 36 , 1 )305
( 36 , 2 )266
( 36 , 3 )207
( 36 , 4 )203
( 36 , 5 )283
( 36 , 6 )183
( 36 , 7 )183
( 36 , 8 )193
( 36 , 9 )198
( 36 , 10 )177
( 36 , 11 )200
( 36 , 12 )193
( 36 , 13 )201
( 36 , 14 )180
( 36 , 15 )192
( 36 , 16 )195
( 36 , 17 )121
( 36 , 18 )135
( 36 , 19 )121
( 36 , 20 )104
( 36 , 21 )21
( 36 , 22 )0
( 36 , 23 )104
( 36 , 24 )110
( 36 , 25 )106
( 36 , 26 )201
( 36 , 27 )277
( 36 , 28 )213
( 36 , 29 )199
( 36 , 30 )281
( 36 , 31 )194
( 36 , 32 )188
( 36 , 33 )193
( 36 , 34 )258
( 36 , 35 )21
( 36 , 36 )0
( 36 , 37 )104
( 36 , 38 )110
( 36 , 39 )106
( 36 , 40 )201
( 36 , 41 )277
( 36 , 42 )213
( 36 , 43 )199
( 36 , 44 )281
( 36 , 45 )194
( 36 , 46 )188
( 36 , 47 )193
( 37 , 0 )177
( 37 , 1 )381
( 37 , 2 )354
( 37 , 3 )287
( 37 , 4 )283
( 37 , 5 )215
( 37 , 6 )121
( 37 , 7 )115
( 37 , 8 )103
( 37 , 9 )118
( 37 , 10 )121
( 37 , 11 )128
( 37 , 12 )117
( 37 , 13 )115
( 37 , 14 )96
( 37 , 15 )106
( 37 , 16 )109
( 37 , 17 )45
( 37 , 18 )47
( 37 , 19 )49
( 37 , 20 )36
( 37 , 21 )117
( 37 , 22 )104
( 37 , 23 )0
( 37 , 24 )10
( 37 , 25 )14
( 37 , 26 )107
( 37 , 27 )187
( 37 , 28 )113
( 37 , 29 )119
( 37 , 30 )213
( 37 , 31 )120
( 37 , 32 )108
( 37 , 33 )111
( 37 , 34 )186
( 37 , 35 )117
( 37 , 36 )104
( 37 , 37 )0
( 37 , 38 )10
( 37 , 39 )14
( 37 , 40 )107
( 37 , 41 )187
( 37 , 42 )113
( 37 , 43 )119
( 37 , 44 )213
( 37 , 45 )120
( 37 , 46 )108
( 37 , 47 )111
( 38 , 0 )181
( 38 , 1 )391
( 38 , 2 )362
( 38 , 3 )295
( 38 , 4 )291
( 38 , 5 )221
( 38 , 6 )127
( 38 , 7 )121
( 38 , 8 )111
( 38 , 9 )124
( 38 , 10 )125
( 38 , 11 )134
( 38 , 12 )125
( 38 , 13 )121
( 38 , 14 )102
( 38 , 15 )112
( 38 , 16 )109
( 38 , 17 )47
( 38 , 18 )49
( 38 , 19 )55
( 38 , 20 )40
( 38 , 21 )123
( 38 , 22 )110
( 38 , 23 )10
( 38 , 24 )0
( 38 , 25 )12
( 38 , 26 )111
( 38 , 27 )193
( 38 , 28 )119
( 38 , 29 )125
( 38 , 30 )213
( 38 , 31 )124
( 38 , 32 )116
( 38 , 33 )117
( 38 , 34 )194
( 38 , 35 )123
( 38 , 36 )110
( 38 , 37 )10
( 38 , 38 )0
( 38 , 39 )12
( 38 , 40 )111
( 38 , 41 )193
( 38 , 42 )119
( 38 , 43 )125
( 38 , 44 )213
( 38 , 45 )124
( 38 , 46 )116
( 38 , 47 )117
( 39 , 0 )183
( 39 , 1 )387
( 39 , 2 )354
( 39 , 3 )301
( 39 , 4 )297
( 39 , 5 )217
( 39 , 6 )119
( 39 , 7 )119
( 39 , 8 )111
( 39 , 9 )122
( 39 , 10 )121
( 39 , 11 )136
( 39 , 12 )121
( 39 , 13 )117
( 39 , 14 )98
( 39 , 15 )104
( 39 , 16 )105
( 39 , 17 )49
( 39 , 18 )51
( 39 , 19 )53
( 39 , 20 )40
( 39 , 21 )117
( 39 , 22 )106
( 39 , 23 )14
( 39 , 24 )12
( 39 , 25 )0
( 39 , 26 )101
( 39 , 27 )183
( 39 , 28 )115
( 39 , 29 )121
( 39 , 30 )211
( 39 , 31 )118
( 39 , 32 )110
( 39 , 33 )113
( 39 , 34 )188
( 39 , 35 )117
( 39 , 36 )106
( 39 , 37 )14
( 39 , 38 )12
( 39 , 39 )0
( 39 , 40 )101
( 39 , 41 )183
( 39 , 42 )115
( 39 , 43 )121
( 39 , 44 )211
( 39 , 45 )118
( 39 , 46 )110
( 39 , 47 )113
( 40 , 0 )272
( 40 , 1 )330
( 40 , 2 )281
( 40 , 3 )238
( 40 , 4 )240
( 40 , 5 )154
( 40 , 6 )58
( 40 , 7 )58
( 40 , 8 )38
( 40 , 9 )49
( 40 , 10 )58
( 40 , 11 )61
( 40 , 12 )56
( 40 , 13 )52
( 40 , 14 )43
( 40 , 15 )175
( 40 , 16 )182
( 40 , 17 )124
( 40 , 18 )118
( 40 , 19 )126
( 40 , 20 )125
( 40 , 21 )202
( 40 , 22 )201
( 40 , 23 )107
( 40 , 24 )111
( 40 , 25 )101
( 40 , 26 )0
( 40 , 27 )90
( 40 , 28 )168
( 40 , 29 )186
( 40 , 30 )282
( 40 , 31 )191
( 40 , 32 )195
( 40 , 33 )202
( 40 , 34 )129
( 40 , 35 )202
( 40 , 36 )201
( 40 , 37 )107
( 40 , 38 )111
( 40 , 39 )101
( 40 , 40 )0
( 40 , 41 )90
( 40 , 42 )168
( 40 , 43 )186
( 40 , 44 )282
( 40 , 45 )191
( 40 , 46 )195
( 40 , 47 )202
( 41 , 0 )346
( 41 , 1 )404
( 41 , 2 )355
( 41 , 3 )312
( 41 , 4 )314
( 41 , 5 )228
( 41 , 6 )132
( 41 , 7 )132
( 41 , 8 )116
( 41 , 9 )129
( 41 , 10 )134
( 41 , 11 )137
( 41 , 12 )134
( 41 , 13 )130
( 41 , 14 )119
( 41 , 15 )253
( 41 , 16 )264
( 41 , 17 )200
( 41 , 18 )196
( 41 , 19 )204
( 41 , 20 )199
( 41 , 21 )274
( 41 , 22 )277
( 41 , 23 )187
( 41 , 24 )193
( 41 , 25 )183
( 41 , 26 )90
( 41 , 27 )0
( 41 , 28 )82
( 41 , 29 )96
( 41 , 30 )194
( 41 , 31 )105
( 41 , 32 )105
( 41 , 33 )112
( 41 , 34 )39
( 41 , 35 )274
( 41 , 36 )277
( 41 , 37 )187
( 41 , 38 )193
( 41 , 39 )183
( 41 , 40 )90
( 41 , 41 )0
( 41 , 42 )82
( 41 , 43 )96
( 41 , 44 )194
( 41 , 45 )105
( 41 , 46 )105
( 41 , 47 )112
( 42 , 0 )272
( 42 , 1 )478
( 42 , 2 )429
( 42 , 3 )380
( 42 , 4 )382
( 42 , 5 )302
( 42 , 6 )204
( 42 , 7 )200
( 42 , 8 )184
( 42 , 9 )193
( 42 , 10 )208
( 42 , 11 )205
( 42 , 12 )210
( 42 , 13 )206
( 42 , 14 )197
( 42 , 15 )187
( 42 , 16 )196
( 42 , 17 )138
( 42 , 18 )134
( 42 , 19 )138
( 42 , 20 )135
( 42 , 21 )208
( 42 , 22 )213
( 42 , 23 )113
( 42 , 24 )119
( 42 , 25 )115
( 42 , 26 )168
( 42 , 27 )82
( 42 , 28 )0
( 42 , 29 )18
( 42 , 30 )126
( 42 , 31 )33
( 42 , 32 )37
( 42 , 33 )46
( 42 , 34 )113
( 42 , 35 )208
( 42 , 36 )213
( 42 , 37 )113
( 42 , 38 )119
( 42 , 39 )115
( 42 , 40 )168
( 42 , 41 )82
( 42 , 42 )0
( 42 , 43 )18
( 42 , 44 )126
( 42 , 45 )33
( 42 , 46 )37
( 42 , 47 )46
( 43 , 0 )270
( 43 , 1 )488
( 43 , 2 )429
( 43 , 3 )374
( 43 , 4 )376
( 43 , 5 )296
( 43 , 6 )196
( 43 , 7 )192
( 43 , 8 )190
( 43 , 9 )193
( 43 , 10 )202
( 43 , 11 )199
( 43 , 12 )212
( 43 , 13 )216
( 43 , 14 )205
( 43 , 15 )199
( 43 , 16 )204
( 43 , 17 )142
( 43 , 18 )146
( 43 , 19 )146
( 43 , 20 )139
( 43 , 21 )196
( 43 , 22 )199
( 43 , 23 )119
( 43 , 24 )125
( 43 , 25 )121
( 43 , 26 )186
( 43 , 27 )96
( 43 , 28 )18
( 43 , 29 )0
( 43 , 30 )108
( 43 , 31 )21
( 43 , 32 )39
( 43 , 33 )48
( 43 , 34 )123
( 43 , 35 )196
( 43 , 36 )199
( 43 , 37 )119
( 43 , 38 )125
( 43 , 39 )121
( 43 , 40 )186
( 43 , 41 )96
( 43 , 42 )18
( 43 , 43 )0
( 43 , 44 )108
( 43 , 45 )21
( 43 , 46 )39
( 43 , 47 )48
( 44 , 0 )372
( 44 , 1 )576
( 44 , 2 )523
( 44 , 3 )460
( 44 , 4 )462
( 44 , 5 )376
( 44 , 6 )280
( 44 , 7 )282
( 44 , 8 )284
( 44 , 9 )287
( 44 , 10 )280
( 44 , 11 )283
( 44 , 12 )296
( 44 , 13 )292
( 44 , 14 )291
( 44 , 15 )283
( 44 , 16 )288
( 44 , 17 )216
( 44 , 18 )216
( 44 , 19 )222
( 44 , 20 )223
( 44 , 21 )286
( 44 , 22 )281
( 44 , 23 )213
( 44 , 24 )213
( 44 , 25 )211
( 44 , 26 )282
( 44 , 27 )194
( 44 , 28 )126
( 44 , 29 )108
( 44 , 30 )0
( 44 , 31 )101
( 44 , 32 )127
( 44 , 33 )138
( 44 , 34 )213
( 44 , 35 )286
( 44 , 36 )281
( 44 , 37 )213
( 44 , 38 )213
( 44 , 39 )211
( 44 , 40 )282
( 44 , 41 )194
( 44 , 42 )126
( 44 , 43 )108
( 44 , 44 )0
( 44 , 45 )101
( 44 , 46 )127
( 44 , 47 )138
( 45 , 0 )283
( 45 , 1 )487
( 45 , 2 )438
( 45 , 3 )375
( 45 , 4 )375
( 45 , 5 )289
( 45 , 6 )193
( 45 , 7 )195
( 45 , 8 )189
( 45 , 9 )194
( 45 , 10 )195
( 45 , 11 )206
( 45 , 12 )213
( 45 , 13 )217
( 45 , 14 )202
( 45 , 15 )200
( 45 , 16 )205
( 45 , 17 )133
( 45 , 18 )139
( 45 , 19 )145
( 45 , 20 )140
( 45 , 21 )199
( 45 , 22 )194
( 45 , 23 )120
( 45 , 24 )124
( 45 , 25 )118
( 45 , 26 )191
( 45 , 27 )105
( 45 , 28 )33
( 45 , 29 )21
( 45 , 30 )101
( 45 , 31 )0
( 45 , 32 )38
( 45 , 33 )45
( 45 , 34 )122
( 45 , 35 )199
( 45 , 36 )194
( 45 , 37 )120
( 45 , 38 )124
( 45 , 39 )118
( 45 , 40 )191
( 45 , 41 )105
( 45 , 42 )33
( 45 , 43 )21
( 45 , 44 )101
( 45 , 45 )0
( 45 , 46 )38
( 45 , 47 )45
( 46 , 0 )267
( 46 , 1 )451
( 46 , 2 )418
( 46 , 3 )371
( 46 , 4 )369
( 46 , 5 )289
( 46 , 6 )199
( 46 , 7 )199
( 46 , 8 )197
( 46 , 9 )210
( 46 , 10 )195
( 46 , 11 )212
( 46 , 12 )197
( 46 , 13 )199
( 46 , 14 )182
( 46 , 15 )188
( 46 , 16 )201
( 46 , 17 )123
( 46 , 18 )133
( 46 , 19 )131
( 46 , 20 )120
( 46 , 21 )203
( 46 , 22 )188
( 46 , 23 )108
( 46 , 24 )116
( 46 , 25 )110
( 46 , 26 )195
( 46 , 27 )105
( 46 , 28 )37
( 46 , 29 )39
( 46 , 30 )127
( 46 , 31 )38
( 46 , 32 )0
( 46 , 33 )17
( 46 , 34 )90
( 46 , 35 )203
( 46 , 36 )188
( 46 , 37 )108
( 46 , 38 )116
( 46 , 39 )110
( 46 , 40 )195
( 46 , 41 )105
( 46 , 42 )37
( 46 , 43 )39
( 46 , 44 )127
( 46 , 45 )38
( 46 , 46 )0
( 46 , 47 )17
( 47 , 0 )274
( 47 , 1 )454
( 47 , 2 )429
( 47 , 3 )378
( 47 , 4 )372
( 47 , 5 )288
( 47 , 6 )206
( 47 , 7 )206
( 47 , 8 )206
( 47 , 9 )217
( 47 , 10 )200
( 47 , 11 )223
( 47 , 12 )192
( 47 , 13 )196
( 47 , 14 )181
( 47 , 15 )195
( 47 , 16 )200
( 47 , 17 )126
( 47 , 18 )134
( 47 , 19 )134
( 47 , 20 )121
( 47 , 21 )206
( 47 , 22 )193
( 47 , 23 )111
( 47 , 24 )117
( 47 , 25 )113
( 47 , 26 )202
( 47 , 27 )112
( 47 , 28 )46
( 47 , 29 )48
( 47 , 30 )138
( 47 , 31 )45
( 47 , 32 )17
( 47 , 33 )0
( 47 , 34 )87
( 47 , 35 )206
( 47 , 36 )193
( 47 , 37 )111
( 47 , 38 )117
( 47 , 39 )113
( 47 , 40 )202
( 47 , 41 )112
( 47 , 42 )46
( 47 , 43 )48
( 47 , 44 )138
( 47 , 45 )45
( 47 , 46 )17
( 47 , 47 )0
计算完毕!
